Account No,DATE,TRANSACTION DETAILS,CHQ.NO.,VALUE DATE,WITHDRAWAL AMT,DEPOSIT AMT,BALANCE AMT
1196428,15/01/2023,POS CAB SERVICES,,15/01/2023,479.85,,87321.96
1196428,15/01/2023,SHOPPING,,15/01/2023,708.00,,86613.96
1196428,15/01/2023,POS INSTAMART,,15/01/2023,453.85,,86160.11
1196428,15/01/2023,POS CAB SERVICES,,15/01/2023,451.51,,85708.60
1196428,15/01/2023,POS INSTAMART,704309,15/01/2023,659.92,,85048.68
1196428,15/01/2023,POS CAB SERVICES,,15/01/2023,468.41,,84580.27
1196428,15/01/2023,SHOPPING,,15/01/2023,78.00,,84502.27
1196428,16/01/2023,POS INSTAMART,,16/01/2023,527.68,,83974.59
1196428,16/01/2023,POS CAB SERVICES,,16/01/2023,936.50,,83038.09
1196428,17/01/2023,SHOPPING,,17/01/2023,176.00,,82862.09
1196428,17/01/2023,POS INSTAMART,,17/01/2023,356.44,,82505.65
1196428,17/01/2023,POS INSTAMART,,17/01/2023,905.00,,81600.65
1196428,17/01/2023,POS CAB SERVICES,,17/01/2023,189.00,,81411.65
1196428,17/01/2023,SHOPPING,,17/01/2023,225.00,,81186.65
1196428,18/01/2023,POS INSTAMART,,18/01/2023,265.00,,80921.65
1196428,18/01/2023,POS INSTAMART,,18/01/2023,942.00,,79979.65
1196428,18/01/2023,POS CAB SERVICES,,18/01/2023,100.96,,79878.69
1196428,19/01/2023,POS INSTAMART,,19/01/2023,683.67,,79195.02
1196428,19/01/2023,SHOPPING,,19/01/2023,118.36,,79076.66
1196428,19/01/2023,POS INSTAMART,,19/01/2023,565.39,,78511.27
1196428,19/01/2023,POS CAB SERVICES,,19/01/2023,260.55,,78250.72
1196428,19/01/2023,SHOPPING,,19/01/2023,122.24,,78128.48
1196428,19/01/2023,POS INSTAMART,,19/01/2023,497.42,,77631.06
1196428,19/01/2023,POS INSTAMART,,19/01/2023,401.00,,77230.06
1196428,21/01/2023,POS INSTAMART,,21/01/2023,604.92,,76625.14
1196428,21/01/2023,POS INSTAMART,,21/01/2023,282.00,,76343.14
1196428,22/01/2023,POS INSTAMART,,22/01/2023,943.00,,75400.14
1196428,22/01/2023,POS INSTAMART,,22/01/2023,10.00,,75390.14
1196428,22/01/2023,POS CAB SERVICES,,22/01/2023,480.00,,74910.14
1196428,22/01/2023,SHOPPING,,22/01/2023,543.23,,74366.91
1196428,23/01/2023,POS INSTAMART,,23/01/2023,279.74,,74087.17
1196428,23/01/2023,POS CAB SERVICES,,23/01/2023,767.00,,73320.17
1196428,23/01/2023,SHOPPING,,23/01/2023,1293.38,,72026.79
1196428,24/01/2023,POS INSTAMART,,24/01/2023,219.40,,71807.39
1196428,24/01/2023,POS CAB SERVICES,,24/01/2023,235.00,,71572.39
1196428,24/01/2023,POS INSTAMART,,24/01/2023,363.00,,71209.39
1196428,25/01/2023,POS CAB SERVICES,,25/01/2023,475.00,,70734.39
1196428,25/01/2023,POS INSTAMART,,25/01/2023,928.98,,69805.41
1196428,29/01/2023,POS INSTAMART,,29/01/2023,380.54,,69424.87
1196428,29/01/2023,SWIGGY,,29/01/2023,434.53,,68990.34
1196428,29/01/2023,SWIGGY,,29/01/2023,292.23,,68698.11
1196428,29/01/2023,POS INSTAMART,,29/01/2023,100.00,,68598.11
1196428,29/01/2023,POS INSTAMART,,29/01/2023,196.00,,68402.11
1196428,30/01/2023,POS CAB SERVICES,704379,30/01/2023,742.00,,67660.11
1196428,31/01/2023,POS INSTAMART,,31/01/2023,1175.78,,66484.33
1196428,31/01/2023,SWIGGY,,31/01/2023,480.00,,66004.33
1196428,31/01/2023,INTEREST .Coll:01-01-20,,31/01/2023,,834.85,66839.18
1196428,01/02/2023,SALARY,,01/02/2023,,100000.00,166839.18
1196428,01/02/2023,MAX BUPA HEALTH INSURANCE,,01/02/2023,6160.00,,160679.18
1196428,01/02/2023,EMI Phone(4/6),,01/02/2023,3000.00,,157679.18
1196428,01/02/2023,RENT INCOME,,01/02/2023,,30000.00,187679.18
1196428,01/02/2023,EMI Personal loan(4/24),,01/02/2023,5000.00,,182679.18
1196428,01/02/2023,EMI Shopping(3/3),,01/02/2023,5000.00,,177679.18
1196428,01/02/2023,CASHWITH,,01/02/2023,5000.00,,172679.18
1196428,01/02/2023,SWIGGY,,01/02/2023,157.00,,172522.18
1196428,01/02/2023,POS INSTAMART,,01/02/2023,1789.99,,170732.19
1196428,02/02/2023,POS CAB SERVICES,,02/02/2023,272.00,,170460.19
1196428,02/02/2023,SWIGGY,,02/02/2023,1209.00,,169251.19
1196428,02/02/2023,POS INSTAMART,,02/02/2023,138.00,,169113.19
1196428,02/02/2023,POS CAB SERVICES,,02/02/2023,766.00,,168347.19
1196428,02/02/2023,SHOPPING,,02/02/2023,764.15,,167583.04
1196428,02/02/2023,POS INSTAMART,,02/02/2023,920.57,,166662.47
1196428,02/02/2023,POS CAB SERVICES,,02/02/2023,1223.21,,165439.26
1196428,02/02/2023,SHOPPING,,02/02/2023,286.55,,165152.71
1196428,02/02/2023,POS INSTAMART,,02/02/2023,613.85,,164538.86
1196428,02/02/2023,SHOPPING,,02/02/2023,180.84,,164358.02
1196428,02/02/2023,POS INSTAMART,,02/02/2023,324.63,,164033.39
1196428,04/02/2023,POS INSTAMART,,04/02/2023,626.00,,163407.39
1196428,04/02/2023,ZOMATO,,04/02/2023,188.00,,163219.39
1196428,04/02/2023,POS INSTAMART,,04/02/2023,536.85,,162682.54
1196428,04/02/2023,POS INSTAMART,,04/02/2023,215.51,,162467.03
1196428,04/02/2023,POS CAB SERVICES,,04/02/2023,360.00,,162107.03
1196428,04/02/2023,SHOPPING,,04/02/2023,176.00,,161931.03
1196428,05/02/2023,SWIGGY,,05/02/2023,271.44,,161659.59
1196428,05/02/2023,SWIGGY,,05/02/2023,134.92,,161524.67
1196428,05/02/2023,POS INSTAMART,,05/02/2023,1242.41,,160282.26
1196428,05/02/2023,POS INSTAMART,,05/02/2023,130.00,,160152.26
1196428,05/02/2023,SHOPPING,,05/02/2023,587.00,,159565.26
1196428,05/02/2023,SWIGGY,,05/02/2023,726.44,,158838.82
1196428,05/02/2023,ZOMATO,,05/02/2023,341.68,,158497.14
1196428,05/02/2023,POS INSTAMART,,05/02/2023,178.80,,158318.34
1196428,06/02/2023,POS INSTAMART,,06/02/2023,595.52,,157722.82
1196428,06/02/2023,POS CAB SERVICES,,06/02/2023,336.27,,157386.55
1196428,06/02/2023,SHOPPING,,06/02/2023,621.88,,156764.67
1196428,06/02/2023,SWIGGY,,06/02/2023,472.58,,156292.09
1196428,07/02/2023,POS INSTAMART,,07/02/2023,469.50,,155822.59
1196428,07/02/2023,POS INSTAMART,,07/02/2023,38.74,,155783.85
1196428,07/02/2023,POS CAB SERVICES,,07/02/2023,542.53,,155241.32
1196428,07/02/2023,SHOPPING,704381,07/02/2023,306.49,,154934.83
1196428,07/02/2023,SWIGGY,704380,07/02/2023,169.00,,154765.83
1196428,07/02/2023,POS INSTAMART,,07/02/2023,631.00,,154134.83
1196428,07/02/2023,POS INSTAMART,,07/02/2023,462.69,,153672.14
1196428,07/02/2023,POS CAB SERVICES,,07/02/2023,586.07,,153086.07
1196428,07/02/2023,SHOPPING,,07/02/2023,148.79,,152937.28
1196428,08/02/2023,POS INSTAMART,,08/02/2023,25.17,,152912.11
1196428,08/02/2023,POS CAB SERVICES,,08/02/2023,512.09,,152400.02
1196428,08/02/2023,SHOPPING,,08/02/2023,19.63,,152380.39
1196428,11/02/2023,POS CAB SERVICES,,11/02/2023,572.07,,151808.32
1196428,11/02/2023,SHOPPING,,11/02/2023,411.12,,151397.20
1196428,11/02/2023,POS INSTAMART,,11/02/2023,67.33,,151329.87
1196428,11/02/2023,POS INSTAMART,,11/02/2023,810.00,,150519.87
1196428,11/02/2023,POS CAB SERVICES,,11/02/2023,5483.00,,145036.87
1196428,12/02/2023,SHOPPING,,12/02/2023,318.88,,144717.99
1196428,12/02/2023,POS INSTAMART,,12/02/2023,524.20,,144193.79
1196428,12/02/2023,SHOPPING,,12/02/2023,136.00,,144057.79
1196428,12/02/2023,POS CAB SERVICES,,12/02/2023,243.71,,143814.08
1196428,12/02/2023,IMPS 904311124338 FAMILY,,12/02/2023,154.07,,143660.01
1196428,12/02/2023,POS CAB SERVICES,,12/02/2023,4692.00,,138968.01
1196428,12/02/2023,ZOMATO,,12/02/2023,703.66,,138264.35
1196428,12/02/2023,POS VEGETABLE SHOP,,12/02/2023,84.82,,138179.53
1196428,13/02/2023,RTGS-ICICH19044490628-Indfor ,,13/02/2023,,2000.00,140179.53
1196428,13/02/2023,ZOMATO,,13/02/2023,39.00,,140140.53
1196428,13/02/2023,IMPS 904311124338 FAMILY,,13/02/2023,133.02,,140007.51
1196428,13/02/2023,POS VEGETABLE SHOP,,13/02/2023,231.00,,139776.51
1196428,14/02/2023,IB:TPFT0099296221 3090067,,14/02/2023,1445.00,,138331.51
1196428,14/02/2023,IMPS 904311124338 FAMILY,,14/02/2023,5355.00,,132976.51
1196428,14/02/2023,RTGS-UTIBH19045627063-Indfor,,14/02/2023,,2000.00,134976.51
1196428,14/02/2023,POS BOOKMYSHOW,,14/02/2023,380.84,,134595.67
1196428,14/02/2023,POS CAB SERVICES,,14/02/2023,1261.15,,133334.52
1196428,15/02/2023,POS BOOKMYSHOW,,15/02/2023,100.27,,133234.25
1196428,15/02/2023,IMPS 904311124338 FAMILY,,15/02/2023,285.21,,132949.04
1196428,15/02/2023,POS DINEOUT,,15/02/2023,645.55,,132303.49
1196428,15/02/2023,POS VEGETABLE SHOP,,15/02/2023,237.15,,132066.34
1196428,16/02/2023,POS CAB SERVICES,,16/02/2023,5089.00,,126977.34
1196428,16/02/2023,POS VEGETABLE SHOP,,16/02/2023,384.37,,126592.97
1196428,18/02/2023,UPIPAYMENT,,18/02/2023,513.00,,126079.97
1196428,18/02/2023,POS CAB SERVICES,,18/02/2023,5286.00,,120793.97
1196428,18/02/2023,POS CAB SERVICES,,18/02/2023,646.85,,120147.12
1196428,18/02/2023,POS VEGETABLE SHOP,,18/02/2023,230.51,,119916.61
1196428,19/02/2023,IMPS 904311124338 FAMILY,,19/02/2023,5242.00,,114674.61
1196428,19/02/2023,UPIPAYMENT,,19/02/2023,164.00,,114510.61
1196428,19/02/2023,IMPS 904311124338 FAMILY,,19/02/2023,290.00,,114220.61
1196428,19/02/2023,POS VEGETABLE SHOP,,19/02/2023,245.95,,113974.66
1196428,20/02/2023,IMPS 904311124338 FAMILY,,20/02/2023,238.85,,113735.81
1196428,20/02/2023,SHOPPING,,20/02/2023,429.58,,113306.23
1196428,20/02/2023,UPIPAYMENT,,20/02/2023,323.26,,112982.97
1196428,20/02/2023,POS CAB SERVICES,,20/02/2023,5250.00,,107732.97
1196428,20/02/2023,IMPS 904311124338 FAMILY,,20/02/2023,68.77,,107664.20
1196428,20/02/2023,POS BOOKMYSHOW,,20/02/2023,349.47,,107314.73
1196428,20/02/2023,MLCU00701802742,,20/02/2023,474.51,,106840.22
1196428,20/02/2023,POS DINEOUT,,20/02/2023,125.31,,106714.91
1196428,20/02/2023,SHOPPING,,20/02/2023,4536.00,,102178.91
1196428,21/02/2023,IMPS 904311124338 FAMILY,,21/02/2023,541.93,,101636.98
1196428,21/02/2023,UPIPAYMENT,,21/02/2023,4700.00,,96936.98
1196428,21/02/2023,POS BOOKMYSHOW,,21/02/2023,215.86,,96721.12
1196428,21/02/2023,IMPS 904311124338 FAMILY,,21/02/2023,425.60,,96295.52
1196428,22/02/2023,POS CAB SERVICES,,22/02/2023,31.60,,96263.92
1196428,22/02/2023,IMPS 904311124338 FAMILY,,22/02/2023,134.40,,96129.52
1196428,22/02/2023,UPIPAYMENT,,22/02/2023,651.60,,95477.92
1196428,22/02/2023,POS VEGETABLE SHOP,,22/02/2023,560.52,,94917.40
1196428,25/02/2023,SHOPPING,,25/02/2023,326.60,,94590.80
1196428,25/02/2023,POS CAB SERVICES,,25/02/2023,465.71,,94125.09
1196428,25/02/2023,IMPS 904311124338 FAMILY,,25/02/2023,209.52,,93915.57
1196428,25/02/2023,POS BOOKMYSHOW,,25/02/2023,8.71,,93906.86
1196428,25/02/2023,POS DINEOUT,,25/02/2023,88.52,,93818.34
1196428,25/02/2023,POS VEGETABLE SHOP,,25/02/2023,466.96,,93351.38
1196428,26/02/2023,POS DINEOUT,,26/02/2023,334.59,,93016.79
1196428,26/02/2023,UPIPAYMENT,,26/02/2023,708.00,,92308.79
1196428,26/02/2023,POS CAB SERVICES,,26/02/2023,169.66,,92139.13
1196428,26/02/2023,UPIPAYMENT,,26/02/2023,488.52,,91650.61
1196428,26/02/2023,SHOPPING,,26/02/2023,245.60,,91405.01
1196428,26/02/2023,ZOMATO,,26/02/2023,112.53,,91292.48
1196428,26/02/2023,UPI-905717075848-TRANFER-,,26/02/2023,588.59,,90703.89
1196428,26/02/2023,POS VEGETABLE SHOP,,26/02/2023,324.48,,90379.41
1196428,27/02/2023,POS CAB SERVICES,,27/02/2023,71.96,,90307.45
1196428,27/02/2023,UPIPAYMENT,,27/02/2023,703.59,,89603.86
1196428,27/02/2023,UPIPAYMENT,,27/02/2023,625.60,,88978.26
1196428,27/02/2023,POS BOOKMYSHOW,,27/02/2023,75.60,,88902.66
1196428,27/02/2023,UPIPAYMENT,,27/02/2023,679.27,,88223.39
1196428,27/02/2023,SHOPPING,,27/02/2023,51.48,,88171.91
1196428,27/02/2023,UPIPAYMENT,,27/02/2023,258.92,,87912.99
1196428,27/02/2023,UPIPAYMENT,,27/02/2023,5291.00,,82621.99
1196428,27/02/2023,ZOMATO,,27/02/2023,332.16,,82289.83
1196428,27/02/2023,POS DINEOUT,,27/02/2023,328.00,,81961.83
1196428,27/02/2023,POS VEGETABLE SHOP,,27/02/2023,333.48,,81628.35
1196428,28/02/2023,UPIPAYMENT,,28/02/2023,24856.00,,56772.35
1196428,28/02/2023,ZOMATO,,28/02/2023,657.97,,56114.38
1196428,28/02/2023,IMPS 904311124338 FAMILY,,28/02/2023,61.33,,56053.05
1196428,28/02/2023,POS VEGETABLE SHOP,,28/02/2023,319.11,,55733.94
1196428,28/02/2023,INTEREST .Coll:01-02-20,,28/02/2023,,956.66,56690.60
1196428,01/06/2023,UPIPAYMENT,,01/03/2023,474.86,,56215.74
1196428,01/03/2023,SALARY,,01/03/2023,,120000.00,176215.74
1196428,01/03/2023,MAX BUPA HEALTH INSURANCE,,01/03/2023,6160.00,,170055.74
1196428,01/03/2023,EMI Phone(5/6),,01/03/2023,3000.00,,167055.74
1196428,01/03/2023,RENT INCOME,,01/03/2023,,30000.00,197055.74
1196428,01/03/2023,EMI Personal loan(5/24),704391,01/03/2023,5000.00,,192055.74
1196428,01/03/2023,CASHWITH,,01/03/2023,5000.00,,187055.74
1196428,02/03/2023,UPIPAYMENT,,02/03/2023,249.60,,186806.14
1196428,02/03/2023,VODAFONE MOBILE SERVICES,704389,02/03/2023,901.00,,185905.14
1196428,02/03/2023,VODAFONE MOBILE SERVICES,704388,02/03/2023,1472.00,,184433.14
1196428,02/03/2023,SWIGGY,,02/03/2023,66.00,,184367.14
1196428,02/03/2023,POS VEGETABLE SHOP,,02/03/2023,808.00,,183559.14
1196428,04/03/2023,IMPS 904311124338 FAMILY,,04/03/2023,112.84,,183446.30
1196428,04/03/2023,POS VEGETABLE SHOP,,04/03/2023,635.15,,182811.15
1196428,05/03/2023,UPIPAYMENT,,05/03/2023,636.55,,182174.60
1196428,05/03/2023,IMPS 904311124338 FAMILY,,05/03/2023,103.27,,182071.33
1196428,05/03/2023,SWIGGY,,05/03/2023,536.00,,181535.33
1196428,05/03/2023,SWIGGY,,05/03/2023,1589.00,,179946.33
1196428,05/03/2023,SWIGGY,,05/03/2023,2227.23,,177719.10
1196428,05/03/2023,POS BOOKMYSHOW,,05/03/2023,260.65,,177458.45
1196428,07/03/2023,POS INSTAMART,,07/03/2023,507.87,,176950.58
1196428,07/03/2023,POS CAB SERVICES,,07/03/2023,302.78,,176647.80
1196428,07/03/2023,SWIGGY,,07/03/2023,857.80,,175790.00
1196428,08/03/2023,POS INSTAMART,,08/03/2023,367.00,,175423.00
1196428,08/03/2023,POS CAB SERVICES,,08/03/2023,875.57,,174547.43
1196428,08/03/2023,SHOPPING,,08/03/2023,334.55,,174212.88
1196428,08/03/2023,SWIGGY,,08/03/2023,175.85,,174037.03
1196428,09/03/2023,POS INSTAMART,,09/03/2023,345.84,,173691.19
1196428,09/03/2023,POS CAB SERVICES,704310,09/03/2023,158.00,,173533.19
1196428,10/03/2023,SHOPPING,,10/03/2023,83.15,,173450.04
1196428,10/03/2023,POS DINEOUT,,10/03/2023,770.00,,172680.04
1196428,10/03/2023,SWIGGY,,10/03/2023,143.92,,172536.12
1196428,11/03/2023,POS INSTAMART,,11/03/2023,780.41,,171755.71
1196428,11/03/2023,POS INSTAMART,,11/03/2023,128.00,,171627.71
1196428,11/03/2023,POS CAB SERVICES,,11/03/2023,245.44,,171382.27
1196428,11/03/2023,ZOMATO,,11/03/2023,104.68,,171277.59
1196428,14/03/2023,POS INSTAMART,,14/03/2023,252.20,,171025.39
1196428,15/03/2023,POS CAB SERVICES,,15/03/2023,417.85,,170607.54
1196428,15/03/2023,SHOPPING,,15/03/2023,480.16,,170127.38
1196428,15/03/2023,SWIGGY,,15/03/2023,1157.08,,168970.30
1196428,15/03/2023,POS INSTAMART,,15/03/2023,500.20,,168470.10
1196428,15/03/2023,POS CAB SERVICES,,15/03/2023,101.82,,168368.28
1196428,15/03/2023,POS INSTAMART,704309,15/03/2023,222.50,,168145.78
1196428,15/03/2023,POS CAB SERVICES,,15/03/2023,228.67,,167917.11
1196428,15/03/2023,SHOPPING,,15/03/2023,636.64,,167280.47
1196428,16/03/2023,POS INSTAMART,,16/03/2023,10.55,,167269.92
1196428,16/03/2023,POS CAB SERVICES,,16/03/2023,686.24,,166583.68
1196428,16/03/2023,SHOPPING,,16/03/2023,531.42,,166052.26
1196428,16/03/2023,POS INSTAMART,,16/03/2023,544.00,,165508.26
1196428,19/03/2023,POS INSTAMART,,19/03/2023,1232.65,,164275.61
1196428,19/03/2023,POS CAB SERVICES,,19/03/2023,593.92,,163681.69
1196428,19/03/2023,SHOPPING,,19/03/2023,636.00,,163045.69
1196428,19/03/2023,POS INSTAMART,,19/03/2023,128.00,,162917.69
1196428,19/03/2023,POS INSTAMART,,19/03/2023,540.00,,162377.69
1196428,19/03/2023,POS CAB SERVICES,,19/03/2023,866.00,,161511.69
1196428,19/03/2023,POS INSTAMART,,19/03/2023,472.00,,161039.69
1196428,19/03/2023,POS INSTAMART,,19/03/2023,209.23,,160830.46
1196428,19/03/2023,POS CAB SERVICES,,19/03/2023,354.74,,160475.72
1196428,19/03/2023,SHOPPING,,19/03/2023,1200.00,,159275.72
1196428,19/03/2023,POS INSTAMART,,19/03/2023,983.38,,158292.34
1196428,19/03/2023,POS INSTAMART,,19/03/2023,791.00,,157501.34
1196428,21/03/2023,POS INSTAMART,,21/03/2023,42.00,,157459.34
1196428,21/03/2023,POS INSTAMART,,21/03/2023,739.00,,156720.34
1196428,22/03/2023,POS INSTAMART,,22/03/2023,193.00,,156527.34
1196428,22/03/2023,POS INSTAMART,,22/03/2023,434.18,,156093.16
1196428,22/03/2023,POS CAB SERVICES,,22/03/2023,696.98,,155396.18
1196428,22/03/2023,SHOPPING,,22/03/2023,723.43,,154672.75
1196428,23/03/2023,POS INSTAMART,,23/03/2023,919.54,,153753.21
1196428,23/03/2023,POS CAB SERVICES,,23/03/2023,716.53,,153036.68
1196428,23/03/2023,SHOPPING,,23/03/2023,1227.23,,151809.45
1196428,24/03/2023,POS INSTAMART,,24/03/2023,704.00,,151105.45
1196428,24/03/2023,POS CAB SERVICES,,24/03/2023,808.00,,150297.45
1196428,24/03/2023,POS INSTAMART,,24/03/2023,366.00,,149931.45
1196428,25/03/2023,POS CAB SERVICES,,25/03/2023,317.00,,149614.45
1196428,25/03/2023,POS INSTAMART,,25/03/2023,619.00,,148995.45
1196428,29/03/2023,POS INSTAMART,,29/03/2023,445.00,,148550.45
1196428,29/03/2023,SWIGGY,,29/03/2023,1495.23,,147055.22
1196428,29/03/2023,POS INSTAMART,,29/03/2023,341.12,,146714.10
1196428,29/03/2023,POS INSTAMART,,29/03/2023,109.61,,146604.49
1196428,30/03/2023,POS CAB SERVICES,704379,30/03/2023,52.01,,146552.48
1196428,31/03/2023,POS INSTAMART,,31/03/2023,526.00,,146026.48
1196428,31/03/2023,SWIGGY,,31/03/2023,780.99,,145245.49
1196428,31/03/2023,INTEREST .Coll:01-01-20,,31/03/2023,,1034.85,146280.34
1196428,01/04/2023,SALARY,,01/04/2023,,100000.00,246280.34
1196428,01/04/2023,MAX BUPA HEALTH INSURANCE,704273,01/04/2023,6160.00,,240120.34
1196428,01/04/2023,EMI Phone(6/6),,01/04/2023,3000.00,,237120.34
1196428,01/04/2023,RENT INCOME,,01/04/2023,,30000.00,267120.34
1196428,01/04/2023,EMI Personal loan(6/24),,01/04/2023,5000.00,,262120.34
1196428,02/04/2023,CASHWITH,704308,02/04/2023,5000.00,,257120.34
1196428,02/04/2023,SWIGGY,,02/04/2023,544.55,,256575.79
1196428,02/04/2023,POS INSTAMART,,02/04/2023,369.27,,256206.52
1196428,03/04/2023,POS CAB SERVICES,,03/04/2023,102.00,,256104.52
1196428,03/04/2023,SWIGGY,,03/04/2023,2159.00,,253945.52
1196428,03/04/2023,POS INSTAMART,,03/04/2023,2644.23,,251301.29
1196428,03/04/2023,POS CAB SERVICES,,03/04/2023,537.65,,250763.64
1196428,03/04/2023,SHOPPING,,03/04/2023,163.13,,250600.51
1196428,03/04/2023,SWIGGY,,03/04/2023,171.22,,250429.29
1196428,04/04/2023,POS INSTAMART,,04/04/2023,975.80,,249453.49
1196428,04/04/2023,POS CAB SERVICES,,04/04/2023,80.00,,249373.49
1196428,04/04/2023,SHOPPING,,04/04/2023,733.57,,248639.92
1196428,04/04/2023,ZOMATO,,04/04/2023,675.55,,247964.37
1196428,07/04/2023,POS INSTAMART,,07/04/2023,95.85,,247868.52
1196428,07/04/2023,POS CAB SERVICES,,07/04/2023,33.16,,247835.36
1196428,08/04/2023,POS INSTAMART,,08/04/2023,286.15,,247549.21
1196428,08/04/2023,POS CAB SERVICES,,08/04/2023,416.51,,247132.70
1196428,08/04/2023,SHOPPING,,08/04/2023,62.33,,247070.37
1196428,09/04/2023,POS INSTAMART,,09/04/2023,3.00,,247067.37
1196428,09/04/2023,POS CAB SERVICES,704310,09/04/2023,421.46,,246645.91
1196428,10/04/2023,SHOPPING,,10/04/2023,127.95,,246517.96
1196428,10/04/2023,TATA AIG GENERAL INSURANCE,704307,10/04/2023,1405.23,,245112.73
1196428,10/04/2023,POS DINEOUT,,10/04/2023,163.00,,244949.73
1196428,11/04/2023,POS INSTAMART,,11/04/2023,924.00,,244025.73
1196428,11/04/2023,POS INSTAMART,,11/04/2023,238.96,,243786.77
1196428,11/04/2023,POS CAB SERVICES,,11/04/2023,343.88,,243442.89
1196428,14/04/2023,POS INSTAMART,,14/04/2023,52.82,,243390.07
1196428,15/04/2023,POS CAB SERVICES,,15/04/2023,376.37,,243013.70
1196428,15/04/2023,SHOPPING,,15/04/2023,217.16,,242796.54
1196428,15/04/2023,POS INSTAMART,,15/04/2023,111.20,,242685.34
1196428,15/04/2023,POS CAB SERVICES,,15/04/2023,464.82,,242220.52
1196428,16/04/2023,POS INSTAMART,,16/04/2023,703.50,,241517.02
1196428,16/04/2023,POS CAB SERVICES,,16/04/2023,214.67,,241302.35
1196428,16/04/2023,SHOPPING,,16/04/2023,33.64,,241268.71
1196428,16/04/2023,POS INSTAMART,,16/04/2023,510.39,,240758.32
1196428,16/04/2023,POS CAB SERVICES,,16/04/2023,425.55,,240332.77
1196428,16/04/2023,POS INSTAMART,,16/04/2023,307.24,,240025.53
1196428,18/04/2023,POS INSTAMART,,18/04/2023,645.42,,239380.11
1196428,18/04/2023,POS INSTAMART,,18/04/2023,869.00,,238511.11
1196428,18/04/2023,POS CAB SERVICES,,18/04/2023,699.65,,237811.46
1196428,19/04/2023,POS INSTAMART,,19/04/2023,1321.92,,236489.54
1196428,19/04/2023,POS CAB SERVICES,,19/04/2023,930.00,,235559.54
1196428,19/04/2023,SHOPPING,,19/04/2023,566.00,,234993.54
1196428,19/04/2023,POS INSTAMART,,19/04/2023,985.00,,234008.54
1196428,19/04/2023,POS INSTAMART,,19/04/2023,500.00,,233508.54
1196428,19/04/2023,POS CAB SERVICES,,19/04/2023,266.23,,233242.31
1196428,19/04/2023,SHOPPING,,19/04/2023,33.26,,233209.05
1196428,19/04/2023,POS INSTAMART,,19/04/2023,587.00,,232622.05
1196428,19/04/2023,POS INSTAMART,,19/04/2023,764.38,,231857.67
1196428,19/04/2023,POS CAB SERVICES,,19/04/2023,315.00,,231542.67
1196428,19/04/2023,POS INSTAMART,,19/04/2023,57.40,,231485.27
