Account No,DATE,TRANSACTION DETAILS,CHQ.NO.,VALUE DATE,WITHDRAWAL AMT,DEPOSIT AMT,BALANCE AMT,CATEGORY
1196428,15/01/2023,POS CAB SERVICES,,15/01/2023,468.41,,144317.38,TRANSPORT
1196428,15/01/2023,SHOPPING,,15/01/2023,78.00,,144239.38,SHOPPING
1196428,16/01/2023,SWIGGY,,16/01/2023,40.56,,144198.82,FOOD
1196428,16/01/2023,POS INSTAMART,,16/01/2023,527.68,,143671.14,UTILITIES
1196428,16/01/2023,POS CAB SERVICES,,16/01/2023,936.50,,142734.64,TRANSPORT
1196428,17/01/2023,SHOPPING,,17/01/2023,176.00,,142558.64,SHOPPING
1196428,17/01/2023,POS INSTAMART,,17/01/2023,356.44,,142202.20,UTILITIES
1196428,17/01/2023,POS INSTAMART,,17/01/2023,905.00,,141297.20,UTILITIES
1196428,17/01/2023,POS CAB SERVICES,,17/01/2023,189.00,,141108.20,TRANSPORT
1196428,17/01/2023,SHOPPING,,17/01/2023,225.00,,140883.20,SHOPPING
1196428,18/01/2023,SWIGGY,,18/01/2023,921.00,,139962.20,FOOD
1196428,18/01/2023,POS INSTAMART,,18/01/2023,265.00,,139697.20,UTILITIES
1196428,18/01/2023,POS INSTAMART,,18/01/2023,942.00,,138755.20,UTILITIES
1196428,18/01/2023,POS CAB SERVICES,,18/01/2023,100.96,,138654.24,TRANSPORT
1196428,19/01/2023,POS INSTAMART,,19/01/2023,683.67,,137970.57,UTILITIES
1196428,19/01/2023,POS INSTAMART,,19/01/2023,118.36,,137852.21,UTILITIES
1196428,19/01/2023,POS INSTAMART,,19/01/2023,565.39,,137286.82,UTILITIES
1196428,19/01/2023,POS CAB SERVICES,,19/01/2023,260.55,,137026.27,TRANSPORT
1196428,19/01/2023,SHOPPING,,19/01/2023,122.24,,136904.03,SHOPPING
1196428,19/01/2023,POS INSTAMART,,19/01/2023,497.42,,136406.61,UTILITIES
1196428,19/01/2023,POS INSTAMART,,19/01/2023,401.00,,136005.61,UTILITIES
1196428,21/01/2023,SWIGGY,,21/01/2023,1100.65,,134904.96,FOOD
1196428,21/01/2023,POS INSTAMART,,21/01/2023,604.92,,134300.04,UTILITIES
1196428,21/01/2023,POS INSTAMART,,21/01/2023,282.00,,134018.04,UTILITIES
1196428,22/01/2023,SWIGGY,,22/01/2023,591.00,,133427.04,FOOD
1196428,22/01/2023,POS INSTAMART,,22/01/2023,943.00,,132484.04,UTILITIES
1196428,22/01/2023,POS INSTAMART,,22/01/2023,10.00,,132474.04,UTILITIES
1196428,22/01/2023,POS CAB SERVICES,,22/01/2023,480.00,,131994.04,TRANSPORT
1196428,22/01/2023,SHOPPING,,22/01/2023,543.23,,131450.81,SHOPPING
1196428,23/01/2023,POS INSTAMART,,23/01/2023,279.74,,131171.07,UTILITIES
1196428,23/01/2023,POS CAB SERVICES,,23/01/2023,767.00,,130404.07,TRANSPORT
1196428,23/01/2023,SHOPPING,,23/01/2023,1293.38,,129110.69,SHOPPING
1196428,23/01/2023,SWIGGY,,23/01/2023,959.00,,128151.69,FOOD
1196428,24/01/2023,POS INSTAMART,,24/01/2023,219.40,,127932.29,UTILITIES
1196428,24/01/2023,POS CAB SERVICES,,24/01/2023,235.00,,127697.29,TRANSPORT
1196428,24/01/2023,SWIGGY,,24/01/2023,597.00,,127100.29,FOOD
1196428,24/01/2023,POS INSTAMART,,24/01/2023,363.00,,126737.29,UTILITIES
1196428,25/01/2023,POS CAB SERVICES,,25/01/2023,475.00,,126262.29,TRANSPORT
1196428,25/01/2023,SWIGGY,,25/01/2023,444.82,,125817.47,FOOD
1196428,25/01/2023,POS INSTAMART,,25/01/2023,928.98,,124888.49,UTILITIES
1196428,28/01/2023,SWIGGY,,28/01/2023,684.43,,124204.06,FOOD
1196428,29/01/2023,POS INSTAMART,,29/01/2023,380.54,,123823.52,UTILITIES
1196428,29/01/2023,SWIGGY,,29/01/2023,434.53,,123388.99,FOOD
1196428,29/01/2023,SWIGGY,,29/01/2023,292.23,,123096.76,FOOD
1196428,29/01/2023,POS INSTAMART,,29/01/2023,100.00,,122996.76,UTILITIES
1196428,29/01/2023,POS INSTAMART,,29/01/2023,196.00,,122800.76,UTILITIES
1196428,30/01/2023,POS CAB SERVICES,704379,30/01/2023,742.00,,122058.76,TRANSPORT
1196428,31/01/2023,POS INSTAMART,,31/01/2023,1175.78,,120882.98,UTILITIES
1196428,31/01/2023,SWIGGY,,31/01/2023,480.00,,120402.98,FOOD
1196428,31/01/2023,INTEREST Coll:01-01-20,,31/01/2023,,834.85,121237.83,INTEREST
1196428,01/02/2023,SALARY,,01/02/2023,,250000.00,371237.83,SALARY
1196428,01/02/2023,MAX BUPA HEALTH INSURANCE,,01/02/2023,30.00,,371207.83,INSURANCE
1196428,01/02/2023,EMI Phone(11/12),,01/02/2023,3000.00,,368207.83,EMI
1196428,01/02/2023,EMI Home loan(22/240),,01/02/2023,30000.00,,338207.83,EMI
1196428,01/02/2023,EMI Personal loan(17/36),,01/02/2023,5000.00,,333207.83,EMI
1196428,01/02/2023,EMI Shopping(2/3),,01/02/2023,5000.00,,328207.83,EMI
1196428,01/02/2023,CASHWITH,,01/02/2023,343.01,,327864.82,BANK TRANSFERS
1196428,01/02/2023,SWIGGY,,01/02/2023,157.00,,327707.82,FOOD
1196428,01/02/2023,POS INSTAMART,,01/02/2023,1789.99,,325917.83,UTILITIES
1196428,02/02/2023,POS CAB SERVICES,,02/02/2023,272.00,,325645.83,TRANSPORT
1196428,02/02/2023,SWIGGY,,02/02/2023,1209.00,,324436.83,FOOD
1196428,02/02/2023,POS INSTAMART,,02/02/2023,138.00,,324298.83,UTILITIES
1196428,02/02/2023,POS CAB SERVICES,,02/02/2023,766.00,,323532.83,TRANSPORT
1196428,02/02/2023,SHOPPING,,02/02/2023,764.15,,322768.68,SHOPPING
1196428,02/02/2023,POS INSTAMART,,02/02/2023,920.57,,321848.11,UTILITIES
1196428,02/02/2023,POS CAB SERVICES,,02/02/2023,1223.21,,320624.90,TRANSPORT
1196428,02/02/2023,SHOPPING,,02/02/2023,286.55,,320338.35,SHOPPING
1196428,02/02/2023,POS INSTAMART,,02/02/2023,613.85,,319724.50,UTILITIES
1196428,02/02/2023,POS CAB SERVICES,,02/02/2023,180.84,,319543.66,TRANSPORT
1196428,02/02/2023,POS INSTAMART,,02/02/2023,324.63,,319219.03,UTILITIES
1196428,04/02/2023,POS INSTAMART,,04/02/2023,626.00,,318593.03,UTILITIES
1196428,04/02/2023,SWIGGY,,04/02/2023,188.00,,318405.03,FOOD
1196428,04/02/2023,POS INSTAMART,,04/02/2023,536.85,,317868.18,UTILITIES
1196428,04/02/2023,POS INSTAMART,,04/02/2023,215.51,,317652.67,UTILITIES
1196428,04/02/2023,POS CAB SERVICES,,04/02/2023,360.00,,317292.67,TRANSPORT
1196428,04/02/2023,SHOPPING,,04/02/2023,176.00,,317116.67,SHOPPING
1196428,05/02/2023,SWIGGY,,05/02/2023,271.44,,316845.23,FOOD
1196428,05/02/2023,SWIGGY,,05/02/2023,134.92,,316710.31,FOOD
1196428,05/02/2023,POS INSTAMART,,05/02/2023,1242.41,,315467.90,UTILITIES
1196428,05/02/2023,POS INSTAMART,,05/02/2023,130.00,,315337.90,UTILITIES
1196428,05/02/2023,POS CAB SERVICES,,05/02/2023,587.00,,314750.90,TRANSPORT
1196428,05/02/2023,SWIGGY,,05/02/2023,726.44,,314024.46,FOOD
1196428,05/02/2023,SWIGGY,,05/02/2023,341.68,,313682.78,FOOD
1196428,05/02/2023,POS INSTAMART,,05/02/2023,178.80,,313503.98,UTILITIES
1196428,06/02/2023,POS INSTAMART,,06/02/2023,595.52,,312908.46,UTILITIES
1196428,06/02/2023,POS CAB SERVICES,,06/02/2023,336.27,,312572.19,TRANSPORT
1196428,06/02/2023,SHOPPING,,06/02/2023,621.88,,311950.31,SHOPPING
1196428,06/02/2023,SWIGGY,,06/02/2023,472.58,,311477.73,FOOD
1196428,07/02/2023,POS INSTAMART,,07/02/2023,469.50,,311008.23,UTILITIES
1196428,07/02/2023,POS INSTAMART,,07/02/2023,38.74,,310969.49,UTILITIES
1196428,07/02/2023,POS CAB SERVICES,,07/02/2023,542.53,,310426.96,TRANSPORT
1196428,07/02/2023,SHOPPING,704381,07/02/2023,306.49,,310120.47,SHOPPING
1196428,07/02/2023,SWIGGY,704380,07/02/2023,169.00,,309951.47,FOOD
1196428,07/02/2023,POS INSTAMART,,07/02/2023,631.00,,309320.47,UTILITIES
1196428,07/02/2023,POS INSTAMART,,07/02/2023,462.69,,308857.78,UTILITIES
1196428,07/02/2023,POS CAB SERVICES,,07/02/2023,586.07,,308271.71,TRANSPORT
1196428,07/02/2023,POS INSTAMART,,07/02/2023,148.79,,308122.92,UTILITIES
1196428,08/02/2023,POS INSTAMART,,08/02/2023,25.17,,308097.75,UTILITIES
1196428,08/02/2023,POS CAB SERVICES,,08/02/2023,512.09,,307585.66,TRANSPORT
1196428,08/02/2023,SHOPPING,,08/02/2023,19.63,,307566.03,SHOPPING
1196428,11/02/2023,POS CAB SERVICES,,11/02/2023,572.07,,306993.96,TRANSPORT
1196428,11/02/2023,SHOPPING,,11/02/2023,411.12,,306582.84,SHOPPING
1196428,11/02/2023,POS INSTAMART,,11/02/2023,67.33,,306515.51,UTILITIES
1196428,11/02/2023,POS INSTAMART,,11/02/2023,810.00,,305705.51,UTILITIES
1196428,11/02/2023,POS CAB SERVICES,,11/02/2023,5483.00,,300222.51,TRANSPORT
1196428,12/02/2023,SHOPPING,,12/02/2023,318.88,,299903.63,SHOPPING
1196428,12/02/2023,SWIGGY,,12/02/2023,618.51,,299285.12,FOOD
1196428,12/02/2023,POS INSTAMART,,12/02/2023,524.20,,298760.92,UTILITIES
1196428,12/02/2023,POS INSTAMART,,12/02/2023,136.00,,298624.92,UTILITIES
1196428,12/02/2023,POS CAB SERVICES,,12/02/2023,243.71,,298381.21,TRANSPORT
1196428,12/02/2023,IMPS 904311124338 FAMILY,,12/02/2023,154.07,,298227.14,BANK TRANSFERS
1196428,12/02/2023,POS CAB SERVICES,,12/02/2023,4692.00,,293535.14,TRANSPORT
1196428,12/02/2023,ZOMATO,,12/02/2023,703.66,,292831.48,FOOD
1196428,12/02/2023,POS VEGETABLE SHOP,,12/02/2023,84.82,,292746.66,FOOD
1196428,13/02/2023,RTGS-ICICH19044490628-Indfor ,,13/02/2023,,5000.00,297746.66,BANK TRANSFERS
1196428,13/02/2023,ZOMATO,,13/02/2023,39.00,,297707.66,FOOD
1196428,13/02/2023,SWIGGY,,13/02/2023,157.78,,297549.88,FOOD
1196428,13/02/2023,IMPS 904311124338 FAMILY,,13/02/2023,133.02,,297416.86,BANK TRANSFERS
1196428,13/02/2023,POS VEGETABLE SHOP,,13/02/2023,231.00,,297185.86,FOOD
1196428,14/02/2023,IB:TPFT0099296221 3090067,,14/02/2023,1445.00,,295740.86,MISC
1196428,14/02/2023,IMPS 904311124338 FAMILY,,14/02/2023,5355.00,,290385.86,BANK TRANSFERS
1196428,14/02/2023,RTGS-UTIBH19045627063-Indfor,,14/02/2023,,3000.00,293385.86,BANK TRANSFERS
1196428,14/02/2023,POS BOOKMYSHOW,,14/02/2023,380.84,,293005.02,ENTERTAINMENT
1196428,14/02/2023,POS CAB SERVICES,,14/02/2023,1261.15,,291743.87,TRANSPORT
1196428,15/02/2023,SWIGGY,,15/02/2023,637.55,,291106.32,FOOD
1196428,15/02/2023,POS BOOKMYSHOW,,15/02/2023,100.27,,291006.05,ENTERTAINMENT
1196428,15/02/2023,IMPS 904311124338 FAMILY,,15/02/2023,285.21,,290720.84,BANK TRANSFERS
1196428,15/02/2023,POS DINEOUT,,15/02/2023,645.55,,290075.29,FOOD
1196428,15/02/2023,POS VEGETABLE SHOP,,15/02/2023,237.15,,289838.14,FOOD
1196428,16/02/2023,POS CAB SERVICES,,16/02/2023,5089.00,,284749.14,TRANSPORT
1196428,16/02/2023,POS VEGETABLE SHOP,,16/02/2023,384.37,,284364.77,FOOD
1196428,18/02/2023,UPIPAYMENT,,18/02/2023,513.00,,283851.77,BANK TRANSFERS
1196428,18/02/2023,POS CAB SERVICES,,18/02/2023,5286.00,,278565.77,TRANSPORT
1196428,18/02/2023,POS CAB SERVICES,,18/02/2023,646.85,,277918.92,TRANSPORT
1196428,18/02/2023,POS VEGETABLE SHOP,,18/02/2023,230.51,,277688.41,FOOD
1196428,19/02/2023,IMPS 904311124338 FAMILY,,19/02/2023,5242.00,,272446.41,BANK TRANSFERS
1196428,19/02/2023,UPIPAYMENT,,19/02/2023,164.00,,272282.41,BANK TRANSFERS
1196428,19/02/2023,SWIGGY,,19/02/2023,121.56,,272160.85,FOOD
1196428,19/02/2023,IMPS 904311124338 FAMILY,,19/02/2023,290.00,,271870.85,BANK TRANSFERS
1196428,19/02/2023,SWIGGY,,19/02/2023,19801.00,,252069.85,FOOD
1196428,19/02/2023,POS VEGETABLE SHOP,,19/02/2023,245.95,,251823.90,FOOD
1196428,20/02/2023,IMPS 904311124338 FAMILY,,20/02/2023,238.85,,251585.05,BANK TRANSFERS
1196428,20/02/2023,UPIPAYMENT,,20/02/2023,429.58,,251155.47,BANK TRANSFERS
1196428,20/02/2023,UPIPAYMENT,,20/02/2023,323.26,,250832.21,BANK TRANSFERS
1196428,20/02/2023,POS CAB SERVICES,,20/02/2023,5250.00,,245582.21,TRANSPORT
1196428,20/02/2023,IMPS 904311124338 FAMILY,,20/02/2023,68.77,,245513.44,BANK TRANSFERS
1196428,20/02/2023,POS BOOKMYSHOW,,20/02/2023,349.47,,245163.97,ENTERTAINMENT
1196428,20/02/2023,MLCU00701802742,,20/02/2023,474.51,,244689.46,MISC
1196428,20/02/2023,POS DINEOUT,,20/02/2023,125.31,,244564.15,FOOD
1196428,20/02/2023,POS VEGETABLE SHOP,,20/02/2023,4536.00,,240028.15,FOOD
1196428,21/02/2023,IMPS 904311124338 FAMILY,,21/02/2023,541.93,,239486.22,BANK TRANSFERS
1196428,21/02/2023,UPIPAYMENT,,21/02/2023,4700.00,,234786.22,BANK TRANSFERS
1196428,21/02/2023,SWIGGY,,21/02/2023,85.20,,234701.02,FOOD
1196428,21/02/2023,SWIGGY,,21/02/2023,564.60,,234136.42,FOOD
1196428,21/02/2023,POS BOOKMYSHOW,,21/02/2023,215.86,,233920.56,ENTERTAINMENT
1196428,21/02/2023,IMPS 904311124338 FAMILY,,21/02/2023,425.60,,233494.96,BANK TRANSFERS
1196428,22/02/2023,POS CAB SERVICES,,22/02/2023,31.60,,233463.36,TRANSPORT
1196428,22/02/2023,IMPS 904311124338 FAMILY,,22/02/2023,134.40,,233328.96,BANK TRANSFERS
1196428,22/02/2023,UPIPAYMENT,,22/02/2023,651.60,,232677.36,BANK TRANSFERS
1196428,22/02/2023,SWIGGY,,22/02/2023,5474.00,,227203.36,FOOD
1196428,22/02/2023,POS VEGETABLE SHOP,,22/02/2023,560.52,,226642.84,FOOD
1196428,25/02/2023,UPIPAYMENT,,25/02/2023,326.60,,226316.24,BANK TRANSFERS
1196428,25/02/2023,POS CAB SERVICES,,25/02/2023,465.71,,225850.53,TRANSPORT
1196428,25/02/2023,SWIGGY,,25/02/2023,550.20,,225300.33,FOOD
1196428,25/02/2023,SWIGGY,,25/02/2023,442.60,,224857.73,FOOD
1196428,25/02/2023,IMPS 904311124338 FAMILY,,25/02/2023,209.52,,224648.21,BANK TRANSFERS
1196428,25/02/2023,POS BOOKMYSHOW,,25/02/2023,8.71,,224639.50,ENTERTAINMENT
1196428,25/02/2023,POS DINEOUT,,25/02/2023,88.52,,224550.98,FOOD
1196428,25/02/2023,POS VEGETABLE SHOP,,25/02/2023,466.96,,224084.02,FOOD
1196428,26/02/2023,POS DINEOUT,,26/02/2023,334.59,,223749.43,FOOD
1196428,26/02/2023,UPIPAYMENT,,26/02/2023,708.00,,223041.43,BANK TRANSFERS
1196428,26/02/2023,POS CAB SERVICES,,26/02/2023,169.66,,222871.77,TRANSPORT
1196428,26/02/2023,UPIPAYMENT,,26/02/2023,488.52,,222383.25,BANK TRANSFERS
1196428,26/02/2023,SWIGGY,,26/02/2023,405.10,,221978.15,FOOD
1196428,26/02/2023,SWIGGY,,26/02/2023,42.63,,221935.52,FOOD
1196428,26/02/2023,SWIGGY,,26/02/2023,245.60,,221689.92,FOOD
1196428,26/02/2023,SWIGGY,,26/02/2023,112.53,,221577.39,FOOD
1196428,26/02/2023,UPI-905717075848-TRANFER-,,26/02/2023,588.59,,220988.80,BANK TRANSFERS
1196428,26/02/2023,POS VEGETABLE SHOP,,26/02/2023,324.48,,220664.32,FOOD
1196428,27/02/2023,POS CAB SERVICES,,27/02/2023,71.96,,220592.36,TRANSPORT
1196428,27/02/2023,UPIPAYMENT,,27/02/2023,703.59,,219888.77,BANK TRANSFERS
1196428,27/02/2023,UPIPAYMENT,,27/02/2023,625.60,,219263.17,BANK TRANSFERS
1196428,27/02/2023,POS BOOKMYSHOW,,27/02/2023,75.60,,219187.57,ENTERTAINMENT
1196428,27/02/2023,UPIPAYMENT,,27/02/2023,679.27,,218508.30,BANK TRANSFERS
1196428,27/02/2023,UPIPAYMENT,,27/02/2023,51.48,,218456.82,BANK TRANSFERS
1196428,27/02/2023,UPIPAYMENT,,27/02/2023,258.92,,218197.90,BANK TRANSFERS
1196428,27/02/2023,UPIPAYMENT,,27/02/2023,5291.00,,212906.90,BANK TRANSFERS
1196428,27/02/2023,ZOMATO,,27/02/2023,332.16,,212574.74,FOOD
1196428,27/02/2023,POS DINEOUT,,27/02/2023,328.00,,212246.74,FOOD
1196428,27/02/2023,POS VEGETABLE SHOP,,27/02/2023,333.48,,211913.26,FOOD
1196428,28/02/2023,UPIPAYMENT,,28/02/2023,24856.00,,187057.26,BANK TRANSFERS
1196428,28/02/2023,ZOMATO,,28/02/2023,657.97,,186399.29,FOOD
1196428,28/02/2023,IMPS 904311124338 FAMILY,,28/02/2023,61.33,,186337.96,BANK TRANSFERS
1196428,28/02/2023,POS VEGETABLE SHOP,,28/02/2023,319.11,,186018.85,FOOD
1196428,28/02/2023,INTEREST Coll:01-02-20,,28/02/2023,,956.66,186975.51,INTEREST
1196428,01/06/2023,UPIPAYMENT,,01/03/2023,474.86,,186500.65,BANK TRANSFERS
1196428,01/03/2023,SALARY,,01/03/2023,,250000.00,436500.65,SALARY
1196428,01/03/2023,MAX BUPA HEALTH INSURANCE,,01/03/2023,600.67,,435899.98,INSURANCE
1196428,01/03/2023,EMI Phone(12/12),,01/03/2023,3000.00,,432899.98,EMI
1196428,01/03/2023,EMI Home loan(23/240),,01/03/2023,30000.00,,402899.98,EMI
1196428,01/03/2023,EMI Personal loan(18/36),704391,01/03/2023,5000.00,,397899.98,EMI
1196428,01/03/2023,EMI Shopping(3/3),,01/03/2023,5000.00,,392899.98,EMI
1196428,01/03/2023,CASHWITH,,01/03/2023,151.83,,392748.15,BANK TRANSFERS
1196428,02/03/2023,UPIPAYMENT,,02/03/2023,249.60,,392498.55,BANK TRANSFERS
1196428,02/03/2023,VODAFONE MOBILE SERVICES,704389,02/03/2023,901.00,,391597.55,BILL PAYMENT
1196428,02/03/2023,VODAFONE MOBILE SERVICES,704388,02/03/2023,1472.00,,390125.55,BILL PAYMENT
1196428,02/03/2023,SWIGGY,,02/03/2023,66.00,,390059.55,FOOD
1196428,02/03/2023,POS VEGETABLE SHOP,,02/03/2023,808.00,,389251.55,FOOD
1196428,04/03/2023,IMPS 904311124338 FAMILY,,04/03/2023,112.84,,389138.71,BANK TRANSFERS
1196428,04/03/2023,POS VEGETABLE SHOP,,04/03/2023,635.15,,388503.56,FOOD
1196428,05/03/2023,UPIPAYMENT,,05/03/2023,636.55,,387867.01,BANK TRANSFERS
1196428,05/03/2023,IMPS 904311124338 FAMILY,,05/03/2023,103.27,,387763.74,BANK TRANSFERS
1196428,05/03/2023,SWIGGY,,05/03/2023,536.00,,387227.74,FOOD
1196428,05/03/2023,SWIGGY,,05/03/2023,1589.00,,385638.74,FOOD
1196428,05/03/2023,SWIGGY,,05/03/2023,2227.23,,383411.51,FOOD
1196428,05/03/2023,POS BOOKMYSHOW,,05/03/2023,260.65,,383150.86,ENTERTAINMENT
1196428,07/03/2023,POS INSTAMART,,07/03/2023,507.87,,382642.99,UTILITIES
1196428,07/03/2023,POS CAB SERVICES,,07/03/2023,302.78,,382340.21,TRANSPORT
1196428,07/03/2023,SWIGGY,,07/03/2023,857.80,,381482.41,FOOD
1196428,08/03/2023,POS INSTAMART,,08/03/2023,367.00,,381115.41,UTILITIES
1196428,08/03/2023,POS CAB SERVICES,,08/03/2023,875.57,,380239.84,TRANSPORT
1196428,08/03/2023,SHOPPING,,08/03/2023,334.55,,379905.29,SHOPPING
1196428,08/03/2023,SWIGGY,,08/03/2023,175.85,,379729.44,FOOD
1196428,09/03/2023,POS INSTAMART,,09/03/2023,345.84,,379383.60,UTILITIES
1196428,09/03/2023,POS CAB SERVICES,704310,09/03/2023,158.00,,379225.60,TRANSPORT
1196428,10/03/2023,SHOPPING,,10/03/2023,83.15,,379142.45,SHOPPING
1196428,10/03/2023,TATA AIG GENERAL INSURANCE,704307,10/03/2023,330.49,,378811.96,INSURANCE
1196428,10/03/2023,POS DINEOUT,,10/03/2023,770.00,,378041.96,FOOD
1196428,10/03/2023,SWIGGY,,10/03/2023,143.92,,377898.04,FOOD
1196428,11/03/2023,POS INSTAMART,,11/03/2023,780.41,,377117.63,UTILITIES
1196428,11/03/2023,POS INSTAMART,,11/03/2023,128.00,,376989.63,UTILITIES
1196428,11/03/2023,POS CAB SERVICES,,11/03/2023,245.44,,376744.19,TRANSPORT
1196428,11/03/2023,SWIGGY,,11/03/2023,104.68,,376639.51,FOOD
1196428,14/03/2023,POS INSTAMART,,14/03/2023,252.20,,376387.31,UTILITIES
1196428,15/03/2023,POS CAB SERVICES,,15/03/2023,417.85,,375969.46,TRANSPORT
1196428,15/03/2023,SHOPPING,,15/03/2023,480.16,,375489.30,SHOPPING
1196428,15/03/2023,SWIGGY,,15/03/2023,1157.08,,374332.22,FOOD
1196428,15/03/2023,POS INSTAMART,,15/03/2023,500.20,,373832.02,UTILITIES
1196428,15/03/2023,POS CAB SERVICES,,15/03/2023,101.82,,373730.20,TRANSPORT
1196428,15/03/2023,SWIGGY,,15/03/2023,671.57,,373058.63,FOOD
1196428,15/03/2023,POS INSTAMART,704309,15/03/2023,222.50,,372836.13,UTILITIES
1196428,15/03/2023,POS CAB SERVICES,,15/03/2023,228.67,,372607.46,TRANSPORT
1196428,15/03/2023,SHOPPING,,15/03/2023,636.64,,371970.82,SHOPPING
1196428,16/03/2023,SWIGGY,,16/03/2023,199.39,,371771.43,FOOD
1196428,16/03/2023,POS INSTAMART,,16/03/2023,10.55,,371760.88,UTILITIES
1196428,16/03/2023,POS CAB SERVICES,,16/03/2023,686.24,,371074.64,TRANSPORT
1196428,16/03/2023,SHOPPING,,16/03/2023,531.42,,370543.22,SHOPPING
1196428,16/03/2023,POS INSTAMART,,16/03/2023,544.00,,369999.22,UTILITIES
1196428,19/03/2023,POS INSTAMART,,19/03/2023,1232.65,,368766.57,UTILITIES
1196428,19/03/2023,POS CAB SERVICES,,19/03/2023,593.92,,368172.65,TRANSPORT
1196428,19/03/2023,SHOPPING,,19/03/2023,636.00,,367536.65,SHOPPING
1196428,19/03/2023,POS INSTAMART,,19/03/2023,128.00,,367408.65,UTILITIES
1196428,19/03/2023,POS INSTAMART,,19/03/2023,540.00,,366868.65,UTILITIES
1196428,19/03/2023,POS CAB SERVICES,,19/03/2023,866.00,,366002.65,TRANSPORT
1196428,19/03/2023,POS INSTAMART,,19/03/2023,472.00,,365530.65,UTILITIES
